method,path_mmd2,terminal_mmd2,increment_mmd2,volatility_mmd,terminal_swd,path_swd,cov_error,mean_rmse,std_error,kurtosis_error,acf_err_abs,acf_err_sq,discriminative_score,predictive_score,params,time_sec
csdi,0.008313348983153834,0.006089262998978717,0.005035018813742798,0.08062436755910785,0.22298158800205656,0.23027255327437682,0.380046083453255,0.15247426840075265,0.12064447702121889,0.1075778099771687,0.038585022533217876,0.03553726000279458,NaN,NaN,609553,318.1
diffusionts,0.007006140910089664,0.002919893380235461,0.008302936289923846,0.1406449818751807,0.15298209798676798,0.20182854855579715,0.4864574008842337,0.02612403831207206,0.17126234550911468,0.10919280020093236,0.05870693788286788,0.06493205607288996,NaN,NaN,443449,1047.4
