method,path_mmd2,terminal_mmd2,increment_mmd2,volatility_mmd,terminal_swd,path_swd,cov_error,mean_rmse,std_error,kurtosis_error,acf_err_abs,acf_err_sq,discriminative_score,predictive_score,params,time_sec
rgan,0.006859484479116773,0.02135854572664941,0.11404412496909358,0.45906711929315824,148.73473401593543,130.16883512781357,349195.3843135763,337.0244452142227,14.326607948529201,10.324297110373504,0.04761060123078391,0.04116760435600657,NaN,NaN,6198,462.8
gtgan,0.007462120400667956,0.013757227978435968,0.09593220438638693,0.5780568009443826,63.38984000977803,63.44339288093288,70302.71931718179,28.65834376679325,1.0930598002866336,97.89382692998453,0.13840075533747145,0.07240507441585081,NaN,NaN,12168,3557.9
timevae,0.0046358411140212386,0.009985756405502071,0.04417896772271343,0.26700050515114854,24.118534753211797,24.479893974685577,18217.393717738298,15.06731754407386,0.7775991439268592,16.158139420631528,0.048559588035386826,0.04963356989623602,NaN,NaN,181816,132.8
fourierflows,0.00608648122963418,0.014183884861125992,0.0279398831929088,0.23601549360741741,152.47852363043822,153.4650310750282,403876.11214672966,74.76867006674148,0.4276369826619041,14.544941208903136,0.010871482291503804,0.008689248068200817,NaN,NaN,273678,437.5
csdi,0.004714418272278717,0.006546961156200929,0.03401697414968003,0.2784188957140775,76.30319311733244,74.25810337134567,130890.06917624215,200.87887479050713,2.8872294619659797,5.666760615313381,0.04158892517260844,0.038460826849616256,NaN,NaN,609617,421.8
diffusionts,0.006131509509344135,0.009913869706354186,0.08249556230154798,0.5434206606516183,54.64596598460181,54.89274814880564,89041.62153568273,137.01470849774103,3.5633319043218323,5.839023421417038,0.023115926868620015,0.024375125896621146,NaN,NaN,449373,1338.0
