method,path_mmd2,terminal_mmd2,increment_mmd2,volatility_mmd,terminal_swd,path_swd,cov_error,mean_rmse,std_error,kurtosis_error,acf_err_abs,acf_err_sq,discriminative_score,predictive_score,teacher_sigma_corr,teacher_sigma_rmse,params,time_sec
rgan,0.11454123210300657,0.13584822522263046,0.034783577417473246,0.9756022019860131,3.3578760195293973,2.3384085491875393,28.93478218639,1.581359700573597,0.6149323551861637,0.8486205296307325,0.07037745168405661,0.06518764792500974,NaN,NaN,-0.0053589386947856315,1.7300919050621701,5714,594.2
gtgan,0.09286339187371564,0.02832609804015039,0.1507614824910693,2.1191538348418213,1.672349638215764,2.6571083366932995,11.755789832572072,0.8823019913873367,0.7746221903747809,31.168474320191017,0.15225526852710028,0.10368008894163416,NaN,NaN,0.013586747171868281,0.5717314137069341,10708,2484.4
timevae,0.07909010048656999,0.03234348997947929,0.15021954195435935,1.983822887141868,1.9220590325635392,1.3871323187428153,21.818838642441854,0.758621579767808,0.738630360677123,1.3897257550543562,0.028367731727165724,0.025911635463060034,NaN,NaN,0.007239813379582001,0.35756959469632693,166452,56.2
fourierflows,0.005287353611147472,0.010707613984868858,0.001038970709874887,0.03965080329213415,0.9556359031577231,0.6007703448520414,9.015933689076812,0.1841451092359847,0.047409927258671616,0.1007301613656982,0.005388424801542945,0.005197113777395697,NaN,NaN,-0.0022584600896954883,1.1164536830800174,273678,267.5
csdi,0.015508863789118022,0.015389192289816856,0.012748483585714565,0.3254527096407457,1.7313372645086234,1.158325343201153,7.602904060473645,1.6097254361797468,0.26960521660283193,0.2687674594157376,0.013363432510270373,0.012102442567008435,NaN,NaN,0.001978252630208219,0.8144045544243774,609553,212.2
diffusionts,0.021162077976696468,0.009058477959542132,0.06951171355083234,1.3757161741346824,1.2637585447522723,1.116759193846209,11.061079799609361,0.796206347040399,0.5909582842621718,0.10719058472233015,0.05061254843629005,0.04799963363890036,NaN,NaN,-0.000981006547996086,0.49645141427826617,443449,341.1
